fpl_team_id,name,api_team_id,venue_id,venue_name
1,Arsenal,42,494,Emirates Stadium
2,Aston Villa,66,495,Villa Park
3,Brentford,55,10503,Brentford Community Stadium
4,Brighton,51,508,The American Express Community Stadium
5,Burnley,44,512,Turf Moor
6,Chelsea,49,519,Stamford Bridge
7,Crystal Palace,52,525,Selhurst Park
8,Everton,45,8560,Goodison Park
9,Leicester,46,547,King Power Stadium
10,Leeds,63,546,Elland Road
11,Liverpool,40,550,Anfield
12,Manchester City,50,555,Etihad Stadium
13,Manchester United,33,556,Old Trafford
14,Newcastle,34,562,St. James' Park
15,Norwich,71,565,Carrow Road
16,Southampton,41,585,St. Mary's Stadium
17,Tottenham,47,593,Tottenham Hotspur Stadium
18,Watford,38,596,Vicarage Road
19,West Ham,48,598,London Stadium
20,Wolves,39,600,Molineux Stadium
